Placa,Fecha,Descripcion,Monto
UXR-7207,2018-08-24,Circular con luces apagadas,226
UXR-7207,2017-09-28,Circular con luces apagadas,650
UXR-7207,2019-11-11,Revisión técnica vencida,487
UXR-7207,2024-12-17,No respetar semáforo,532
NUB-6096,2018-07-29,Revisión técnica vencida,459
YPK-9145,2021-08-15,Exceso de velocidad,290
YPK-9145,2024-10-15,No portar licencia,518
YPK-9145,2024-08-28,Vehículo sin placas visibles,817
YPK-9145,2015-03-14,Falta de seguro obligatorio,774
EIX-4665,2015-12-07,Exceso de velocidad,181
EIX-4665,2019-11-03,No portar licencia,725
EVN-0347,2016-12-10,No respetar semáforo,795
EVN-0347,2018-03-16,Uso de celular al conducir,789
EVN-0347,2016-07-28,No usar cinturón de seguridad,731
EVN-0347,2016-09-11,Estacionamiento indebido,171
MTS-3142,2018-01-05,No portar licencia,955
MTS-3142,2024-07-23,Revisión técnica vencida,592
SLM-2968,2022-11-18,Vehículo sin placas visibles,336
SLM-2968,2017-05-17,Circular con luces apagadas,177
SLM-2968,2022-04-15,No portar licencia,710
SLM-2968,2018-07-30,No usar cinturón de seguridad,374
SLM-2968,2018-04-15,Falta de seguro obligatorio,131
MDC-2361,2024-03-15,No respetar semáforo,190
MDC-2361,2017-09-17,Exceso de velocidad,174
MDC-2361,2017-01-07,Exceso de velocidad,396
MDC-2361,2022-06-24,Uso de celular al conducir,631
WBC-7764,2022-08-24,Circular con luces apagadas,664
WER-3195,2024-05-11,Exceso de velocidad,330
WER-3195,2019-04-25,Falta de seguro obligatorio,272
WER-3195,2024-11-18,Circular con luces apagadas,467
WER-3195,2017-08-04,No usar cinturón de seguridad,732
WER-3195,2016-08-05,Circular con luces apagadas,645
FWJ-2123,2024-10-07,No portar licencia,393
SHF-7324,2021-09-10,Falta de seguro obligatorio,392
SHF-7324,2017-06-21,No portar licencia,903
COX-9106,2023-07-26,Falta de seguro obligatorio,110
PVB-4573,2022-09-15,Circular con luces apagadas,383
PVB-4573,2018-10-30,Exceso de velocidad,559
PVB-4573,2019-09-02,Circular con luces apagadas,562
PVB-4573,2020-10-02,No portar licencia,601
PVB-4573,2018-06-23,No usar cinturón de seguridad,363
APC-0005,2017-09-23,Revisión técnica vencida,469
APC-0005,2022-05-05,Revisión técnica vencida,373
APC-0005,2023-09-29,Estacionamiento indebido,253
APC-0005,2020-05-22,Falta de seguro obligatorio,507
LHN-1648,2023-01-18,Circular con luces apagadas,655
LHN-1648,2019-03-19,Revisión técnica vencida,769
OTS-3630,2019-10-04,Revisión técnica vencida,477
OTS-3630,2020-01-26,Uso de celular al conducir,979
OTS-3630,2015-12-04,Estacionamiento indebido,387
BXV-7241,2015-03-15,Falta de seguro obligatorio,322
BXV-7241,2021-07-16,No portar licencia,426
BXV-7241,2021-02-17,Revisión técnica vencida,663
BXV-7241,2015-08-03,Revisión técnica vencida,128
ZTI-3567,2024-06-07,Exceso de velocidad,435
ZTI-3567,2015-11-08,No respetar semáforo,493
LVM-1852,2017-08-14,No usar cinturón de seguridad,916
LVM-1852,2023-11-21,Falta de seguro obligatorio,826
LVM-1852,2017-12-14,Exceso de velocidad,398
LVM-1852,2016-10-01,Revisión técnica vencida,185
LVM-1852,2018-09-28,Exceso de velocidad,867
ZDB-0150,2022-04-03,Falta de seguro obligatorio,713
ZDB-0150,2016-06-28,Circular con luces apagadas,628
ZDB-0150,2018-05-10,Revisión técnica vencida,721
ZDB-0150,2023-06-14,Uso de celular al conducir,443
ZDB-0150,2019-07-29,No portar licencia,624
TNT-7281,2022-09-10,Revisión técnica vencida,841
TNT-7281,2019-04-15,No respetar semáforo,319
TNT-7281,2023-08-03,Revisión técnica vencida,327
TNT-7281,2021-02-21,No respetar semáforo,741
QHA-5267,2021-11-18,Exceso de velocidad,685
QHA-5267,2023-09-01,Vehículo sin placas visibles,869
QHA-5267,2024-03-27,Estacionamiento indebido,556
TDL-2291,2023-02-13,Vehículo sin placas visibles,878
TDL-2291,2022-11-29,No usar cinturón de seguridad,566
TDL-2291,2021-04-07,Uso de celular al conducir,865
GMI-0445,2024-07-29,Falta de seguro obligatorio,622
GMI-0445,2022-06-22,No respetar semáforo,684
GMI-0445,2021-10-28,Revisión técnica vencida,146
GMI-0445,2019-08-02,No usar cinturón de seguridad,831
GMI-0445,2020-09-30,No usar cinturón de seguridad,673
SJI-5884,2018-09-30,No usar cinturón de seguridad,700
SJI-5884,2017-04-21,Exceso de velocidad,629
SJI-5884,2018-06-17,Revisión técnica vencida,921
KQT-2128,2022-10-02,Estacionamiento indebido,991
SKR-6897,2016-01-19,No respetar semáforo,125
SKR-6897,2017-06-04,Exceso de velocidad,986
SKR-6897,2017-07-14,Estacionamiento indebido,205
SKR-6897,2022-06-23,Circular con luces apagadas,344
IND-1246,2019-10-15,Revisión técnica vencida,482
IND-1246,2017-01-08,No portar licencia,698
IND-1246,2021-01-08,Exceso de velocidad,100
NWF-7789,2019-05-10,No respetar semáforo,771
RUG-7758,2023-10-30,Circular con luces apagadas,278
RUG-7758,2024-12-15,Circular con luces apagadas,978
RUG-7758,2023-07-09,No usar cinturón de seguridad,349
JUV-3043,2016-06-13,Uso de celular al conducir,324
ZUW-3391,2015-11-26,Revisión técnica vencida,815
DRP-2836,2016-09-16,No usar cinturón de seguridad,147
DRP-2836,2018-09-05,Estacionamiento indebido,906
QEM-7600,2022-09-17,Falta de seguro obligatorio,234
QEM-7600,2019-02-04,No usar cinturón de seguridad,525
PDF-4044,2016-02-28,Exceso de velocidad,671
PDF-4044,2018-08-14,Vehículo sin placas visibles,709
PDF-4044,2024-12-20,Vehículo sin placas visibles,301
PDF-4044,2023-05-26,Vehículo sin placas visibles,801
PDF-4044,2020-07-30,Exceso de velocidad,184
XLO-1503,2017-01-27,No portar licencia,214
XLO-1503,2020-06-17,Exceso de velocidad,556
NVM-9167,2017-10-24,Estacionamiento indebido,891
NVM-9167,2015-07-14,Revisión técnica vencida,962
NVM-9167,2015-03-23,Uso de celular al conducir,443
NVM-9167,2020-09-17,Circular con luces apagadas,125
NVM-9167,2018-09-04,Uso de celular al conducir,539
JBU-0919,2018-03-02,No respetar semáforo,248
