Placa,Fecha,Descripcion,Monto
HOR-5430,2018-11-17,No usar cinturón de seguridad,333
HOR-5430,2024-10-22,Falta de seguro obligatorio,884
HOR-5430,2017-11-10,Exceso de velocidad,386
HOR-5430,2016-06-07,Circular con luces apagadas,132
HOR-5430,2016-06-07,Exceso de velocidad,696
AZA-3601,2020-06-07,Vehículo sin placas visibles,331
EHB-8163,2017-09-25,No respetar semáforo,776
EHB-8163,2022-12-21,Vehículo sin placas visibles,448
RLS-6730,2017-02-27,No respetar semáforo,587
RLS-6730,2018-06-19,Exceso de velocidad,735
RLS-6730,2022-07-20,No respetar semáforo,136
NPJ-1771,2019-08-25,No portar licencia,148
UAP-0804,2016-01-30,No portar licencia,587
UAP-0804,2021-05-29,Circular con luces apagadas,532
UAP-0804,2018-07-09,Falta de seguro obligatorio,267
UAP-0804,2020-08-15,No portar licencia,928
UAP-0804,2019-06-17,Falta de seguro obligatorio,479
PYH-4197,2023-09-08,Estacionamiento indebido,653
PYH-4197,2021-12-19,Circular con luces apagadas,659
PYH-4197,2020-03-08,Estacionamiento indebido,353
PYH-4197,2023-11-18,No respetar semáforo,336
JRW-7157,2017-12-13,Uso de celular al conducir,837
JRW-7157,2016-07-19,Estacionamiento indebido,920
JRW-7157,2023-10-13,Estacionamiento indebido,892
WHT-4378,2019-10-20,No portar licencia,699
ZMC-7252,2016-09-15,No portar licencia,917
BOM-6183,2022-06-22,Revisión técnica vencida,557
BOM-6183,2016-12-22,No portar licencia,373
BOM-6183,2017-05-25,No respetar semáforo,673
MVL-3621,2024-11-24,No usar cinturón de seguridad,895
MVL-3621,2015-01-22,Vehículo sin placas visibles,207
GWP-6479,2015-05-19,Uso de celular al conducir,488
IEU-9750,2015-09-02,Revisión técnica vencida,756
IEU-9750,2015-11-09,Estacionamiento indebido,413
DER-6274,2016-01-07,Vehículo sin placas visibles,890
DER-6274,2016-01-22,Falta de seguro obligatorio,674
DER-6274,2021-04-29,Estacionamiento indebido,712
DJD-3754,2015-10-04,Revisión técnica vencida,780
DJD-3754,2022-10-04,No respetar semáforo,647
XWL-8269,2017-12-15,Estacionamiento indebido,312
XWL-8269,2019-05-26,No portar licencia,768
TDA-1330,2024-05-23,Exceso de velocidad,624
ATY-4303,2020-12-19,Circular con luces apagadas,179
WHR-6689,2024-11-28,Exceso de velocidad,849
WHR-6689,2022-05-15,Circular con luces apagadas,819
WHR-6689,2017-04-07,No respetar semáforo,621
WHR-6689,2023-06-13,Uso de celular al conducir,856
IAM-1152,2015-01-28,Revisión técnica vencida,751
IBZ-5105,2015-12-30,Uso de celular al conducir,718
IBZ-5105,2017-02-22,Exceso de velocidad,562
GAH-4153,2019-01-15,Estacionamiento indebido,524
GAH-4153,2022-02-02,No usar cinturón de seguridad,741
GAH-4153,2020-04-03,No respetar semáforo,471
WYC-7744,2021-02-12,No portar licencia,722
WYC-7744,2023-03-27,No portar licencia,536
EFM-1032,2015-05-20,Exceso de velocidad,192
EFM-1032,2015-01-23,Vehículo sin placas visibles,482
EFM-1032,2024-07-03,Uso de celular al conducir,314
EFM-1032,2020-11-20,No usar cinturón de seguridad,742
EFM-1032,2016-10-03,Circular con luces apagadas,514
RUM-1722,2022-03-08,Circular con luces apagadas,656
RUM-1722,2021-09-08,Estacionamiento indebido,912
SIY-0525,2015-04-17,Estacionamiento indebido,238
SIY-0525,2015-05-23,Circular con luces apagadas,691
SIY-0525,2023-07-16,Estacionamiento indebido,254
SIY-0525,2023-05-16,Vehículo sin placas visibles,257
MJU-8870,2021-11-15,Circular con luces apagadas,659
OWK-2205,2024-05-05,Uso de celular al conducir,765
OWK-2205,2022-07-23,Falta de seguro obligatorio,682
OWK-2205,2021-02-19,Falta de seguro obligatorio,179
KFK-8114,2020-12-12,Vehículo sin placas visibles,125
KFK-8114,2024-06-27,Falta de seguro obligatorio,227
KFK-8114,2018-11-12,Vehículo sin placas visibles,572
XFW-9763,2020-12-21,Estacionamiento indebido,201
XFW-9763,2023-08-21,Uso de celular al conducir,889
XFW-9763,2020-02-15,No usar cinturón de seguridad,169
XFW-9763,2021-12-24,Circular con luces apagadas,825
VJK-9823,2022-08-02,No respetar semáforo,878
VJK-9823,2022-02-26,No respetar semáforo,305
VJK-9823,2024-07-28,Exceso de velocidad,981
VJK-9823,2023-01-25,Revisión técnica vencida,218
XEB-5999,2023-03-02,Estacionamiento indebido,233
WNS-6597,2023-01-09,Falta de seguro obligatorio,584
WNS-6597,2018-05-31,No usar cinturón de seguridad,191
WNS-6597,2018-10-06,Uso de celular al conducir,918
WNS-6597,2020-08-23,Circular con luces apagadas,768
WNS-6597,2018-11-09,No respetar semáforo,931
XPV-3117,2019-12-27,Falta de seguro obligatorio,179
XPV-3117,2015-06-12,Circular con luces apagadas,579
XPV-3117,2017-02-10,Uso de celular al conducir,391
KPD-8006,2016-11-27,No respetar semáforo,900
GJU-5453,2022-07-06,No respetar semáforo,478
GJU-5453,2020-08-13,Falta de seguro obligatorio,538
GJU-5453,2018-09-05,No usar cinturón de seguridad,292
GJU-5453,2016-07-31,Falta de seguro obligatorio,242
GJU-5453,2020-06-16,Exceso de velocidad,743
PEH-4723,2019-07-02,Falta de seguro obligatorio,166
PEH-4723,2024-03-22,No portar licencia,145
PEH-4723,2017-10-27,Estacionamiento indebido,505
PEH-4723,2016-03-17,Vehículo sin placas visibles,423
XRI-2267,2024-04-27,No usar cinturón de seguridad,388
XRI-2267,2023-10-28,Estacionamiento indebido,892
XRI-2267,2017-10-20,Vehículo sin placas visibles,828
XRI-2267,2024-11-04,Uso de celular al conducir,741
XRI-2267,2021-07-08,Exceso de velocidad,863
EWC-8217,2019-06-24,Estacionamiento indebido,372
EWC-8217,2019-09-17,Exceso de velocidad,354
KYI-3224,2019-08-25,Estacionamiento indebido,342
KYI-3224,2022-12-26,Revisión técnica vencida,589
DUN-1190,2019-03-21,Exceso de velocidad,697
RVF-1676,2018-10-05,Exceso de velocidad,370
RVF-1676,2022-06-27,Uso de celular al conducir,289
MOD-2429,2023-07-31,Uso de celular al conducir,746
MOD-2429,2023-02-13,No portar licencia,123
MOD-2429,2016-08-31,Uso de celular al conducir,200
MOD-2429,2016-03-23,No respetar semáforo,702
MOD-2429,2020-01-25,No usar cinturón de seguridad,270
WUD-8553,2017-05-19,Uso de celular al conducir,428
WUD-8553,2021-03-23,Circular con luces apagadas,276
WUD-8553,2020-08-31,No portar licencia,728
WOB-3488,2022-12-05,Vehículo sin placas visibles,485
GFB-8110,2015-05-21,Uso de celular al conducir,324
GFB-8110,2020-09-01,Exceso de velocidad,158
GFB-8110,2020-05-17,Vehículo sin placas visibles,722
GFB-8110,2019-06-08,Uso de celular al conducir,654
LMF-1738,2023-11-20,Vehículo sin placas visibles,229
LMF-1738,2019-09-11,Uso de celular al conducir,129
LMF-1738,2023-05-26,Revisión técnica vencida,185
