Placa,Fecha,Descripcion,Monto
VTR-4930,2018-01-30,Revisión técnica vencida,340
VTR-4930,2015-05-23,No portar licencia,353
VTR-4930,2016-08-09,Circular con luces apagadas,280
VTR-4930,2019-01-14,Vehículo sin placas visibles,661
VTR-4930,2020-12-27,Uso de celular al conducir,321
DBK-3872,2023-10-30,No usar cinturón de seguridad,980
DBK-3872,2017-12-16,No portar licencia,707
DBK-3872,2020-10-14,No usar cinturón de seguridad,899
DBK-3872,2024-12-12,Estacionamiento indebido,272
DBK-3872,2015-12-09,Exceso de velocidad,817
DGG-3971,2018-04-18,Circular con luces apagadas,264
DGG-3971,2019-12-23,Exceso de velocidad,953
DGG-3971,2024-10-16,No usar cinturón de seguridad,386
DGG-3971,2020-04-03,No portar licencia,786
UUO-0515,2016-03-17,Exceso de velocidad,986
UUO-0515,2017-09-11,Exceso de velocidad,221
UUO-0515,2017-11-24,No usar cinturón de seguridad,489
UUO-0515,2021-01-09,Falta de seguro obligatorio,360
FDV-8250,2021-11-23,No respetar semáforo,118
FDV-8250,2015-08-08,No usar cinturón de seguridad,661
FDV-8250,2021-05-26,Exceso de velocidad,365
MDT-5085,2022-12-05,Exceso de velocidad,243
PXC-0896,2018-03-18,Exceso de velocidad,161
YDK-4053,2021-07-22,No respetar semáforo,905
YUA-4953,2017-02-16,Uso de celular al conducir,799
KZO-7958,2018-05-05,No respetar semáforo,840
KZO-7958,2018-08-17,Circular con luces apagadas,852
ZSU-0556,2022-06-17,No respetar semáforo,461
ZSU-0556,2023-09-21,Falta de seguro obligatorio,490
ZSU-0556,2023-12-12,No usar cinturón de seguridad,388
QBP-4531,2023-03-29,No usar cinturón de seguridad,230
QBP-4531,2017-10-20,No usar cinturón de seguridad,901
QBP-4531,2020-04-24,Falta de seguro obligatorio,502
QBP-4531,2022-08-08,Circular con luces apagadas,877
QBP-4531,2017-05-03,No respetar semáforo,898
VKJ-4637,2016-09-26,Falta de seguro obligatorio,675
VKJ-4637,2019-11-13,Falta de seguro obligatorio,492
VKJ-4637,2023-06-22,Exceso de velocidad,270
YNS-5464,2020-10-30,No respetar semáforo,379
YNS-5464,2023-05-18,No portar licencia,623
