Placa,Fecha,Descripcion,Monto
CXF-2421,2023-11-29,Uso de celular al conducir,124
CXF-2421,2023-04-25,Circular con luces apagadas,778
CXF-2421,2019-06-09,Exceso de velocidad,224
CXF-2421,2017-12-11,Revisión técnica vencida,623
HLP-3993,2019-12-14,No portar licencia,503
ATW-2388,2022-02-24,Vehículo sin placas visibles,907
ATW-2388,2021-09-11,No portar licencia,723
ZJJ-2296,2016-10-31,Uso de celular al conducir,616
ZJJ-2296,2020-07-07,No usar cinturón de seguridad,412
ZJJ-2296,2018-10-04,No respetar semáforo,767
RCG-8223,2017-10-26,No respetar semáforo,617
RCG-8223,2015-05-16,Falta de seguro obligatorio,168
BAM-1593,2021-07-18,Estacionamiento indebido,565
BAM-1593,2016-04-08,Uso de celular al conducir,323
BAM-1593,2016-03-22,Circular con luces apagadas,986
BAM-1593,2017-05-29,Revisión técnica vencida,803
AYV-8615,2023-02-16,No respetar semáforo,287
AYV-8615,2019-07-05,Revisión técnica vencida,688
AYV-8615,2019-10-14,No usar cinturón de seguridad,481
AYV-8615,2021-12-29,Uso de celular al conducir,411
STK-9966,2022-02-03,Revisión técnica vencida,924
DAF-6164,2018-09-03,Estacionamiento indebido,837
DAF-6164,2021-12-01,Vehículo sin placas visibles,212
DAF-6164,2018-09-26,Exceso de velocidad,528
AMK-0806,2019-03-25,Estacionamiento indebido,709
AMK-0806,2021-10-21,Estacionamiento indebido,245
TPA-9527,2016-10-15,Falta de seguro obligatorio,726
TPA-9527,2023-07-18,No usar cinturón de seguridad,783
TPA-9527,2019-11-21,No portar licencia,337
TPA-9527,2020-07-06,Uso de celular al conducir,435
TPA-9527,2015-07-11,Uso de celular al conducir,621
QYD-9118,2017-01-18,Uso de celular al conducir,140
QYD-9118,2016-01-30,No portar licencia,813
NFB-9354,2018-12-17,No portar licencia,935
NFB-9354,2018-08-16,Falta de seguro obligatorio,196
NFB-9354,2023-12-14,No portar licencia,800
NFB-9354,2021-07-14,Exceso de velocidad,317
DDG-7180,2015-06-19,Vehículo sin placas visibles,876
DDG-7180,2023-05-01,Uso de celular al conducir,527
DDG-7180,2024-02-29,Estacionamiento indebido,993
EWE-7674,2017-02-26,Falta de seguro obligatorio,799
EWE-7674,2022-07-07,No portar licencia,262
EWE-7674,2022-09-12,No portar licencia,845
EWE-7674,2020-03-07,Estacionamiento indebido,436
EWE-7674,2016-10-03,No usar cinturón de seguridad,688
FJA-1986,2020-08-16,Falta de seguro obligatorio,801
BNU-0355,2019-08-24,Circular con luces apagadas,530
BNU-0355,2018-11-24,No respetar semáforo,256
BNU-0355,2018-03-08,No portar licencia,310
PYN-8940,2016-09-19,No portar licencia,234
ORQ-3867,2019-01-10,No respetar semáforo,856
DFL-3212,2024-03-09,No portar licencia,570
DFL-3212,2016-07-20,No portar licencia,387
DFL-3212,2017-11-05,Circular con luces apagadas,526
DFL-3212,2017-11-17,Circular con luces apagadas,647
DFL-3212,2021-03-06,No respetar semáforo,352
BKE-8203,2015-09-16,No respetar semáforo,497
BKE-8203,2021-08-14,Exceso de velocidad,787
BKE-8203,2022-09-28,No respetar semáforo,540
CBR-1284,2024-01-25,No portar licencia,373
CBR-1284,2022-07-06,Revisión técnica vencida,974
XLN-0630,2018-08-27,Circular con luces apagadas,933
XLN-0630,2021-06-09,Revisión técnica vencida,286
XLN-0630,2024-06-02,No respetar semáforo,716
FWD-8621,2016-10-07,Exceso de velocidad,928
FWD-8621,2018-10-25,Uso de celular al conducir,492
BKG-2014,2017-01-26,Circular con luces apagadas,775
BKG-2014,2023-03-17,No respetar semáforo,157
BKG-2014,2024-04-12,Exceso de velocidad,487
BKG-2014,2017-07-25,Uso de celular al conducir,909
ECD-3901,2017-02-07,No portar licencia,569
ECD-3901,2019-12-07,Circular con luces apagadas,784
ECD-3901,2024-09-05,Falta de seguro obligatorio,602
ECD-3901,2015-03-02,Revisión técnica vencida,673
GLJ-8138,2019-03-04,Falta de seguro obligatorio,238
GLJ-8138,2024-06-18,Falta de seguro obligatorio,776
TSH-7378,2017-06-25,Falta de seguro obligatorio,218
TSH-7378,2020-06-08,No usar cinturón de seguridad,225
TSH-7378,2015-01-17,Vehículo sin placas visibles,645
TSH-7378,2017-05-07,Circular con luces apagadas,509
IEV-1182,2017-10-24,No usar cinturón de seguridad,442
IEV-1182,2017-06-13,No portar licencia,447
SHG-9870,2018-06-14,No usar cinturón de seguridad,372
SHG-9870,2019-02-16,Circular con luces apagadas,723
SHG-9870,2017-01-25,No portar licencia,366
SHG-9870,2022-02-28,Circular con luces apagadas,673
SHG-9870,2020-12-22,Falta de seguro obligatorio,615
MVG-5842,2018-08-17,Revisión técnica vencida,578
MVG-5842,2022-10-17,Vehículo sin placas visibles,995
MVG-5842,2021-12-31,Vehículo sin placas visibles,900
ARQ-4512,2020-10-12,No portar licencia,197
PSF-2184,2020-11-02,Uso de celular al conducir,787
PSF-2184,2023-12-22,Revisión técnica vencida,189
BWT-9653,2021-08-05,Falta de seguro obligatorio,506
BWT-9653,2017-06-04,No portar licencia,937
GOR-0641,2020-04-25,Estacionamiento indebido,823
GOR-0641,2020-01-25,Vehículo sin placas visibles,992
GOR-0641,2022-01-15,Uso de celular al conducir,887
ITH-3708,2016-08-27,No usar cinturón de seguridad,983
ITH-3708,2022-10-11,Circular con luces apagadas,200
ITH-3708,2021-08-06,Exceso de velocidad,397
ITH-3708,2021-02-03,Estacionamiento indebido,472
ITH-3708,2017-03-10,No respetar semáforo,947
NGO-7318,2015-01-31,Revisión técnica vencida,193
NGO-7318,2021-08-31,Vehículo sin placas visibles,628
UGF-0221,2024-03-14,Vehículo sin placas visibles,713
UGF-0221,2015-06-09,Uso de celular al conducir,597
UGF-0221,2019-01-01,No respetar semáforo,902
UGF-0221,2017-07-02,Vehículo sin placas visibles,580
CPH-1663,2017-05-03,Circular con luces apagadas,587
CPH-1663,2015-02-12,No portar licencia,992
CPH-1663,2018-05-09,No respetar semáforo,770
DYZ-4199,2015-10-16,Estacionamiento indebido,778
