Placa,Fecha,Descripcion,Monto
ZBH-1259,2020-08-26,No respetar semáforo,840
ZBH-1259,2019-05-19,Exceso de velocidad,831
ZBH-1259,2020-07-02,No usar cinturón de seguridad,890
BTD-1161,2024-03-15,Revisión técnica vencida,270
TSD-0246,2024-03-11,Falta de seguro obligatorio,808
TSD-0246,2024-06-12,No portar licencia,596
TSD-0246,2020-07-15,Circular con luces apagadas,845
GVK-0478,2016-09-02,Circular con luces apagadas,121
GVK-0478,2023-10-26,No portar licencia,594
JSE-8363,2019-01-29,Vehículo sin placas visibles,916
JSE-8363,2015-05-27,No respetar semáforo,602
JCT-4217,2019-02-04,Revisión técnica vencida,474
JCT-4217,2024-03-07,Exceso de velocidad,942
JCT-4217,2020-11-25,Falta de seguro obligatorio,310
JCT-4217,2015-08-17,Vehículo sin placas visibles,804
JCT-4217,2022-04-30,No usar cinturón de seguridad,581
OOA-7443,2018-04-03,Vehículo sin placas visibles,868
OOA-7443,2023-02-14,Revisión técnica vencida,736
OOA-7443,2018-12-13,Circular con luces apagadas,714
OOA-7443,2021-04-19,Vehículo sin placas visibles,507
OOA-7443,2017-09-22,No portar licencia,925
PLS-9206,2017-10-24,Estacionamiento indebido,792
PLS-9206,2018-07-05,Falta de seguro obligatorio,797
PLS-9206,2018-04-22,No portar licencia,788
CIJ-4783,2015-12-25,Exceso de velocidad,405
CIJ-4783,2024-07-28,No respetar semáforo,815
CIJ-4783,2024-09-02,Falta de seguro obligatorio,596
GVW-5206,2017-06-21,Uso de celular al conducir,904
GVW-5206,2022-05-11,Falta de seguro obligatorio,191
AEV-7642,2024-03-18,No portar licencia,295
YHS-0850,2016-09-02,Circular con luces apagadas,695
MZX-2157,2020-02-25,No usar cinturón de seguridad,764
MZX-2157,2022-07-23,Uso de celular al conducir,772
ONU-9221,2015-11-15,Estacionamiento indebido,263
ONU-9221,2015-05-08,No portar licencia,642
ONU-9221,2020-11-04,Uso de celular al conducir,355
ONU-9221,2022-08-03,Falta de seguro obligatorio,789
ONU-9221,2024-12-08,No usar cinturón de seguridad,581
AUG-5962,2023-12-03,Exceso de velocidad,358
AUG-5962,2018-10-11,No portar licencia,990
RIO-9414,2018-10-01,Vehículo sin placas visibles,633
RIO-9414,2023-11-24,Revisión técnica vencida,283
RIO-9414,2015-03-30,Estacionamiento indebido,113
RIO-9414,2017-09-14,Exceso de velocidad,379
IXG-9478,2022-01-17,No portar licencia,553
IXG-9478,2019-10-02,Falta de seguro obligatorio,576
IXG-9478,2022-09-05,No usar cinturón de seguridad,892
IIS-9662,2018-03-15,Estacionamiento indebido,364
IIS-9662,2024-03-03,No respetar semáforo,885
IIS-9662,2020-10-13,Falta de seguro obligatorio,227
IIS-9662,2024-02-22,Circular con luces apagadas,336
IIS-9662,2022-07-15,No usar cinturón de seguridad,304
MXT-9586,2016-02-03,Vehículo sin placas visibles,738
MXT-9586,2018-05-13,No portar licencia,604
MXT-9586,2023-11-23,Falta de seguro obligatorio,962
ZCI-1353,2023-12-07,Revisión técnica vencida,677
ZCI-1353,2019-08-10,Estacionamiento indebido,888
ZCI-1353,2015-02-24,Circular con luces apagadas,693
ZCI-1353,2016-06-22,No respetar semáforo,909
GFU-6164,2015-11-06,No usar cinturón de seguridad,731
GFU-6164,2017-04-05,Falta de seguro obligatorio,497
GFU-6164,2017-01-09,No respetar semáforo,372
GFU-6164,2020-03-14,Uso de celular al conducir,464
DFM-8540,2022-12-27,No usar cinturón de seguridad,322
DFM-8540,2019-04-28,Vehículo sin placas visibles,246
YQI-1543,2015-01-19,Uso de celular al conducir,401
YQI-1543,2022-10-01,No usar cinturón de seguridad,607
TKD-8171,2017-09-14,Exceso de velocidad,374
TKD-8171,2021-09-02,Estacionamiento indebido,899
TKD-8171,2024-02-17,Exceso de velocidad,221
UBO-2565,2016-12-02,Uso de celular al conducir,940
UBO-2565,2021-03-29,No portar licencia,664
UGB-5778,2018-03-07,No respetar semáforo,656
FXA-6789,2015-02-17,Circular con luces apagadas,322
HZS-3463,2015-03-07,No usar cinturón de seguridad,719
HZS-3463,2020-09-16,No portar licencia,875
UJL-3853,2017-06-25,Revisión técnica vencida,730
UJL-3853,2015-05-13,No portar licencia,210
UJL-3853,2021-01-20,Circular con luces apagadas,257
UJL-3853,2024-10-16,Vehículo sin placas visibles,715
UJL-3853,2018-01-23,Exceso de velocidad,373
OFL-5083,2017-03-30,Vehículo sin placas visibles,465
OFL-5083,2019-04-13,Revisión técnica vencida,955
HCA-3952,2019-03-17,No usar cinturón de seguridad,571
HCA-3952,2018-11-06,Circular con luces apagadas,577
HCA-3952,2017-10-12,Vehículo sin placas visibles,472
OYT-8067,2023-03-30,Falta de seguro obligatorio,471
OYT-8067,2019-05-30,Uso de celular al conducir,626
OYT-8067,2017-04-22,Uso de celular al conducir,803
OYT-8067,2024-05-04,Circular con luces apagadas,979
WNW-2797,2015-08-06,Falta de seguro obligatorio,229
WNW-2797,2023-10-01,Falta de seguro obligatorio,652
WNW-2797,2019-07-20,Circular con luces apagadas,731
WNW-2797,2023-02-06,Estacionamiento indebido,542
WNW-2797,2023-04-30,Falta de seguro obligatorio,676
QZV-6083,2022-05-16,No respetar semáforo,283
QZV-6083,2020-11-18,Estacionamiento indebido,791
QZV-6083,2016-07-01,Circular con luces apagadas,794
QZV-6083,2018-08-14,No usar cinturón de seguridad,629
QZV-6083,2022-03-29,No portar licencia,551
EDR-3645,2019-06-11,No respetar semáforo,318
EDR-3645,2016-05-26,No respetar semáforo,871
EDR-3645,2021-11-21,No usar cinturón de seguridad,265
BRK-6675,2017-08-16,Estacionamiento indebido,529
BRK-6675,2020-05-04,Circular con luces apagadas,443
BRK-6675,2018-04-12,No portar licencia,762
NJO-5050,2022-09-22,No usar cinturón de seguridad,544
NJO-5050,2021-02-27,No respetar semáforo,303
NJO-5050,2022-07-18,Circular con luces apagadas,215
NJO-5050,2020-12-07,No respetar semáforo,514
NJO-5050,2015-03-25,Circular con luces apagadas,915
ZME-5605,2019-12-09,No usar cinturón de seguridad,400
ZME-5605,2015-07-09,No respetar semáforo,445
ZME-5605,2017-10-12,Falta de seguro obligatorio,590
ZME-5605,2022-08-29,Revisión técnica vencida,100
ZME-5605,2023-04-17,Vehículo sin placas visibles,320
YVL-5885,2022-12-26,Falta de seguro obligatorio,205
YVL-5885,2019-05-15,Estacionamiento indebido,1000
PTZ-2537,2024-06-22,No respetar semáforo,993
PTZ-2537,2023-06-19,No usar cinturón de seguridad,242
PTZ-2537,2020-09-07,Circular con luces apagadas,860
PTZ-2537,2020-04-23,Falta de seguro obligatorio,276
PMO-7928,2018-08-05,No respetar semáforo,217
VWV-2416,2017-10-29,Circular con luces apagadas,101
VWV-2416,2016-12-22,Exceso de velocidad,239
VWV-2416,2018-01-23,Estacionamiento indebido,307
VWV-2416,2019-06-21,Revisión técnica vencida,763
VWV-2416,2024-04-12,Uso de celular al conducir,634
KOW-0831,2019-08-15,Falta de seguro obligatorio,769
KOW-0831,2015-01-02,Uso de celular al conducir,715
KOW-0831,2023-01-16,Circular con luces apagadas,388
OMJ-0667,2020-09-10,No portar licencia,569
OMJ-0667,2021-10-14,Uso de celular al conducir,631
AMX-1952,2024-03-05,Falta de seguro obligatorio,346
AMX-1952,2022-03-31,Exceso de velocidad,116
AMX-1952,2024-11-15,Vehículo sin placas visibles,830
AMX-1952,2022-02-04,No portar licencia,360
BND-9655,2022-07-13,No portar licencia,130
BND-9655,2017-12-30,No respetar semáforo,623
BND-9655,2021-12-30,No portar licencia,856
BND-9655,2022-09-24,Circular con luces apagadas,379
ZKN-3213,2019-11-07,Circular con luces apagadas,156
ZKN-3213,2016-03-07,Falta de seguro obligatorio,771
ZKN-3213,2021-03-20,Vehículo sin placas visibles,603
ZKN-3213,2016-01-12,No usar cinturón de seguridad,293
ZKN-3213,2016-07-28,Vehículo sin placas visibles,598
EUQ-0564,2024-02-01,No portar licencia,685
EUQ-0564,2019-05-27,Circular con luces apagadas,895
EUQ-0564,2021-04-26,Circular con luces apagadas,314
UAA-9516,2015-03-01,Uso de celular al conducir,616
UAA-9516,2016-10-16,Circular con luces apagadas,242
MHJ-0114,2018-10-21,Falta de seguro obligatorio,916
MHJ-0114,2020-04-03,No portar licencia,937
MHJ-0114,2015-10-06,No portar licencia,836
NEH-1537,2021-01-02,Revisión técnica vencida,455
NEH-1537,2021-10-01,Uso de celular al conducir,296
NFB-8926,2019-08-31,Circular con luces apagadas,682
NFB-8926,2022-04-09,Exceso de velocidad,205
TZA-2108,2016-04-14,Revisión técnica vencida,362
TZA-2108,2023-01-01,Circular con luces apagadas,552
TZA-2108,2015-11-30,Vehículo sin placas visibles,993
TZA-2108,2015-02-07,No portar licencia,744
HAC-8627,2017-03-19,Vehículo sin placas visibles,821
HAC-8627,2019-02-02,Revisión técnica vencida,247
HAC-8627,2023-11-03,Exceso de velocidad,433
HAC-8627,2019-09-16,Uso de celular al conducir,508
HAC-8627,2019-04-23,No usar cinturón de seguridad,116
WQC-1112,2016-04-29,Revisión técnica vencida,766
WQC-1112,2018-01-14,Falta de seguro obligatorio,366
WQC-1112,2016-04-15,No usar cinturón de seguridad,599
WQC-1112,2018-02-15,Falta de seguro obligatorio,555
HGX-2363,2018-09-14,No usar cinturón de seguridad,195
HGX-2363,2020-11-08,Revisión técnica vencida,535
HGX-2363,2017-02-21,No respetar semáforo,713
PZB-7109,2024-04-02,Circular con luces apagadas,448
PZB-7109,2020-02-07,Exceso de velocidad,595
PZB-7109,2018-12-23,Uso de celular al conducir,501
MAF-2988,2024-04-10,Circular con luces apagadas,655
TKQ-1034,2020-12-15,Circular con luces apagadas,281
TKQ-1034,2020-08-21,No respetar semáforo,852
TKQ-1034,2022-10-08,Uso de celular al conducir,123
KFV-6100,2024-07-30,Vehículo sin placas visibles,487
KFV-6100,2022-10-16,Uso de celular al conducir,149
KFV-6100,2016-03-20,No respetar semáforo,747
KFV-6100,2020-07-22,Vehículo sin placas visibles,685
KFV-6100,2019-06-25,No portar licencia,829
WVX-8647,2024-03-07,Exceso de velocidad,711
USC-5757,2021-08-13,Revisión técnica vencida,189
JFH-7540,2022-08-22,Revisión técnica vencida,275
JFH-7540,2020-11-17,Revisión técnica vencida,903
JFH-7540,2019-02-06,No portar licencia,493
JRE-4092,2023-05-05,Revisión técnica vencida,496
JRE-4092,2018-05-23,Estacionamiento indebido,605
XAJ-6067,2021-08-03,Exceso de velocidad,515
XAJ-6067,2016-02-22,No respetar semáforo,492
UYJ-7057,2017-05-28,Estacionamiento indebido,383
UYJ-7057,2024-07-24,Uso de celular al conducir,493
UYJ-7057,2018-06-15,Uso de celular al conducir,150
UYJ-7057,2017-05-28,Exceso de velocidad,611
YQL-1470,2021-07-15,Exceso de velocidad,217
YQL-1470,2019-08-25,Uso de celular al conducir,705
YQL-1470,2018-08-14,No portar licencia,884
YQL-1470,2015-02-05,Estacionamiento indebido,753
YQL-1470,2019-04-18,Exceso de velocidad,627
TVQ-9695,2017-09-11,Revisión técnica vencida,685
FFP-7304,2024-07-02,Vehículo sin placas visibles,726
FFP-7304,2021-07-14,Estacionamiento indebido,306
FFP-7304,2019-04-05,Estacionamiento indebido,218
FFP-7304,2016-06-10,Vehículo sin placas visibles,143
FFP-7304,2022-08-29,Exceso de velocidad,167
NBP-2614,2023-03-23,Falta de seguro obligatorio,333
XHG-5520,2021-02-25,Falta de seguro obligatorio,781
FCG-3848,2016-03-27,Vehículo sin placas visibles,459
FCG-3848,2022-03-06,No usar cinturón de seguridad,919
FCG-3848,2018-11-03,Falta de seguro obligatorio,496
FCG-3848,2019-09-05,Falta de seguro obligatorio,610
FCG-3848,2023-01-26,No portar licencia,632
VQW-9111,2024-02-10,Exceso de velocidad,679
VQW-9111,2016-04-15,Estacionamiento indebido,743
VQW-9111,2021-01-11,Circular con luces apagadas,560
VQW-9111,2016-10-29,Vehículo sin placas visibles,599
VQW-9111,2021-02-01,Estacionamiento indebido,992
WKS-2286,2018-07-14,No respetar semáforo,119
HXB-3262,2015-03-08,Exceso de velocidad,872
HXB-3262,2021-11-16,Falta de seguro obligatorio,439
HXB-3262,2023-01-19,Exceso de velocidad,165
QUC-1244,2019-01-02,Vehículo sin placas visibles,689
QUC-1244,2023-01-13,Exceso de velocidad,934
QUC-1244,2019-10-30,No respetar semáforo,412
QUC-1244,2017-04-18,No usar cinturón de seguridad,302
JRE-6011,2019-11-17,No usar cinturón de seguridad,127
JRE-6011,2017-07-16,Uso de celular al conducir,259
JRE-6011,2016-11-17,Vehículo sin placas visibles,291
FNH-2341,2023-02-20,Vehículo sin placas visibles,909
IEB-8362,2022-10-10,No usar cinturón de seguridad,404
IEB-8362,2017-10-27,Estacionamiento indebido,287
IEB-8362,2023-08-14,No usar cinturón de seguridad,216
IEB-8362,2016-06-06,Revisión técnica vencida,151
IEB-8362,2022-07-01,Exceso de velocidad,493
RVN-2764,2022-10-03,Falta de seguro obligatorio,329
RVN-2764,2021-03-28,Estacionamiento indebido,602
RVN-2764,2016-01-23,Revisión técnica vencida,357
SNA-6205,2015-05-29,Circular con luces apagadas,759
SNA-6205,2019-08-04,Falta de seguro obligatorio,712
SNA-6205,2017-01-10,Uso de celular al conducir,306
SNA-6205,2016-11-30,Revisión técnica vencida,989
NLD-5637,2017-02-02,Uso de celular al conducir,690
NLD-5637,2016-02-26,No portar licencia,870
NLD-5637,2022-12-21,Circular con luces apagadas,312
WUP-2763,2024-06-23,Estacionamiento indebido,635
WUP-2763,2021-06-14,No respetar semáforo,655
UOY-8197,2016-03-28,Estacionamiento indebido,764
TVA-4586,2020-02-13,No portar licencia,697
TVA-4586,2017-08-09,No usar cinturón de seguridad,880
FPB-3181,2021-05-17,Estacionamiento indebido,567
LAC-4690,2018-09-17,Estacionamiento indebido,148
LAC-4690,2023-10-14,Estacionamiento indebido,333
LAC-4690,2017-03-10,Vehículo sin placas visibles,984
LAC-4690,2023-11-17,Vehículo sin placas visibles,474
TIX-2283,2020-09-11,No portar licencia,518
TIX-2283,2021-09-26,Vehículo sin placas visibles,156
PBX-4705,2018-01-25,Circular con luces apagadas,940
PBX-4705,2023-01-18,Exceso de velocidad,998
PBX-4705,2024-10-08,Exceso de velocidad,991
PBX-4705,2022-10-31,Falta de seguro obligatorio,115
PBX-4705,2015-03-18,Exceso de velocidad,305
MGY-9693,2022-12-31,No respetar semáforo,408
MGY-9693,2023-09-24,Estacionamiento indebido,147
MGY-9693,2015-04-05,No usar cinturón de seguridad,422
MGY-9693,2019-07-23,Uso de celular al conducir,928
MGY-9693,2022-10-04,Circular con luces apagadas,652
MSQ-9041,2021-06-13,Estacionamiento indebido,105
MSQ-9041,2017-02-22,Exceso de velocidad,192
MSQ-9041,2023-06-14,Estacionamiento indebido,532
MSQ-9041,2023-09-25,Vehículo sin placas visibles,262
VIQ-2000,2019-05-15,Vehículo sin placas visibles,257
VIQ-2000,2021-04-17,Falta de seguro obligatorio,721
VIQ-2000,2021-07-16,No usar cinturón de seguridad,492
VCZ-3523,2023-08-23,No respetar semáforo,459
VCZ-3523,2016-05-23,No respetar semáforo,717
VCZ-3523,2020-12-22,Revisión técnica vencida,169
VCZ-3523,2024-03-30,Circular con luces apagadas,875
VCZ-3523,2019-09-13,Vehículo sin placas visibles,659
GVL-6235,2022-07-07,Falta de seguro obligatorio,366
GVL-6235,2018-02-05,Vehículo sin placas visibles,859
UXZ-7940,2019-07-04,Falta de seguro obligatorio,976
UXZ-7940,2016-03-21,Vehículo sin placas visibles,714
UXZ-7940,2016-01-23,Vehículo sin placas visibles,320
UXZ-7940,2017-05-11,Estacionamiento indebido,877
UXZ-7940,2017-03-20,Uso de celular al conducir,513
KGE-9036,2020-09-01,Revisión técnica vencida,644
KGE-9036,2020-11-10,No portar licencia,172
KGE-9036,2023-05-13,Circular con luces apagadas,631
KGE-9036,2020-04-05,No respetar semáforo,865
KGE-9036,2023-06-15,Exceso de velocidad,893
WLE-6608,2015-06-29,Estacionamiento indebido,326
WLE-6608,2024-07-24,No respetar semáforo,892
WLE-6608,2017-06-01,No respetar semáforo,498
WLE-6608,2024-11-23,Falta de seguro obligatorio,864
WLE-6608,2024-03-21,Circular con luces apagadas,328
NMC-6625,2024-05-18,Estacionamiento indebido,820
NMC-6625,2024-11-01,No respetar semáforo,425
DYF-3089,2018-10-16,Estacionamiento indebido,786
ZPL-5119,2016-12-13,Exceso de velocidad,255
ZPL-5119,2021-11-21,Exceso de velocidad,479
ZPL-5119,2019-10-06,Falta de seguro obligatorio,379
ZPL-5119,2023-07-10,No respetar semáforo,990
TQE-9697,2021-08-05,Circular con luces apagadas,283
TQE-9697,2022-03-10,Revisión técnica vencida,172
TQE-9697,2024-10-13,Exceso de velocidad,240
TQE-9697,2024-07-07,Exceso de velocidad,122
YMK-1553,2018-09-17,Falta de seguro obligatorio,110
YMK-1553,2024-08-27,Revisión técnica vencida,223
YMK-1553,2019-10-03,Falta de seguro obligatorio,728
YMK-1553,2015-02-14,Falta de seguro obligatorio,766
YMK-1553,2018-11-03,Exceso de velocidad,242
MHP-6745,2016-12-16,Circular con luces apagadas,385
MHP-6745,2020-10-11,Vehículo sin placas visibles,931
MHP-6745,2017-03-04,No usar cinturón de seguridad,131
KRM-0143,2017-10-16,Exceso de velocidad,984
KRM-0143,2024-11-08,Vehículo sin placas visibles,243
DRT-3706,2016-11-02,No respetar semáforo,482
DRT-3706,2021-09-23,Revisión técnica vencida,696
DRT-3706,2017-12-14,Falta de seguro obligatorio,829
DYZ-4253,2017-11-18,Uso de celular al conducir,444
DYZ-4253,2021-11-16,Falta de seguro obligatorio,955
DYZ-4253,2018-03-10,Uso de celular al conducir,956
DYZ-4253,2015-11-06,Exceso de velocidad,725
ONH-0276,2023-06-11,Uso de celular al conducir,552
XHD-7696,2023-05-07,Vehículo sin placas visibles,784
XWI-9577,2018-12-22,Exceso de velocidad,849
XWI-9577,2022-06-29,Uso de celular al conducir,545
XWI-9577,2017-01-14,No respetar semáforo,852
XWI-9577,2015-06-15,Falta de seguro obligatorio,309
BBH-8638,2020-02-15,Uso de celular al conducir,607
BBH-8638,2022-05-18,Falta de seguro obligatorio,809
BBH-8638,2017-11-01,No portar licencia,335
BBH-8638,2016-10-12,Uso de celular al conducir,411
BBH-8638,2024-02-11,Estacionamiento indebido,494
BVF-0995,2024-04-05,No usar cinturón de seguridad,278
BVF-0995,2018-10-29,Vehículo sin placas visibles,454
BVF-0995,2022-05-23,Vehículo sin placas visibles,227
PXK-6517,2015-08-23,Exceso de velocidad,347
PXK-6517,2017-11-21,Revisión técnica vencida,277
PXK-6517,2021-03-05,No respetar semáforo,822
NBK-9982,2017-02-12,No respetar semáforo,730
NBK-9982,2015-07-26,Revisión técnica vencida,188
NBK-9982,2021-06-04,No usar cinturón de seguridad,321
NBK-9982,2019-08-24,No respetar semáforo,304
NBK-9982,2018-04-23,Vehículo sin placas visibles,604
RRZ-0387,2019-03-20,Estacionamiento indebido,485
RRZ-0387,2021-08-31,Revisión técnica vencida,409
RRZ-0387,2022-12-04,Estacionamiento indebido,939
RRZ-0387,2016-07-03,Circular con luces apagadas,540
XUR-8639,2021-04-01,Revisión técnica vencida,976
XUR-8639,2016-10-11,Estacionamiento indebido,954
XUR-8639,2022-02-24,Falta de seguro obligatorio,273
XUR-8639,2018-08-20,Circular con luces apagadas,401
XUR-8639,2017-04-15,Circular con luces apagadas,965
XWV-9755,2018-12-27,Exceso de velocidad,683
GXE-4279,2022-10-20,No respetar semáforo,209
GXE-4279,2024-12-01,No respetar semáforo,973
GXE-4279,2015-01-10,No usar cinturón de seguridad,654
YES-8200,2017-05-20,Estacionamiento indebido,311
JFN-6589,2017-06-28,No respetar semáforo,381
JFN-6589,2016-09-28,Circular con luces apagadas,911
JFN-6589,2024-09-01,Falta de seguro obligatorio,618
HEV-0187,2018-08-26,Uso de celular al conducir,889
DFR-6820,2021-01-20,Estacionamiento indebido,864
DFR-6820,2015-01-20,Estacionamiento indebido,216
ZOF-0499,2021-04-28,No portar licencia,571
ZOF-0499,2024-04-13,No usar cinturón de seguridad,216
ZOF-0499,2019-04-05,Vehículo sin placas visibles,134
NKC-0375,2019-05-28,No portar licencia,999
NKC-0375,2024-04-30,Exceso de velocidad,835
NKC-0375,2020-03-31,Uso de celular al conducir,539
BSG-9549,2018-09-26,Exceso de velocidad,980
BSG-9549,2022-05-19,No usar cinturón de seguridad,811
BSG-9549,2022-02-16,No portar licencia,302
BSG-9549,2019-07-16,Estacionamiento indebido,125
EOH-0140,2019-12-18,Falta de seguro obligatorio,117
EOH-0140,2016-02-14,Circular con luces apagadas,963
