Placa,Fecha,Descripcion,Monto
ONI-4385,2015-07-17,No usar cinturón de seguridad,249
ONI-4385,2016-12-17,Exceso de velocidad,915
ONI-4385,2021-08-31,No respetar semáforo,681
ONI-4385,2020-02-03,Vehículo sin placas visibles,231
ONI-4385,2019-04-27,Exceso de velocidad,683
KQG-9721,2022-04-07,Falta de seguro obligatorio,708
KQG-9721,2016-07-19,Exceso de velocidad,681
KQG-9721,2020-06-05,No usar cinturón de seguridad,358
KQG-9721,2024-11-22,No usar cinturón de seguridad,748
FQK-0130,2017-10-26,Estacionamiento indebido,695
FQK-0130,2018-09-13,Vehículo sin placas visibles,674
FQK-0130,2022-01-08,Uso de celular al conducir,496
FQK-0130,2023-01-06,Vehículo sin placas visibles,164
MWA-1517,2022-11-30,Circular con luces apagadas,452
MWA-1517,2017-06-27,Estacionamiento indebido,852
ZTP-5657,2016-03-20,Uso de celular al conducir,393
ZTP-5657,2022-11-17,No portar licencia,768
NVX-3854,2018-05-17,Revisión técnica vencida,996
HIC-7068,2017-05-26,No portar licencia,382
HIC-7068,2015-06-20,Revisión técnica vencida,972
HIC-7068,2015-12-21,Vehículo sin placas visibles,170
HIC-7068,2016-03-01,No portar licencia,623
RYI-2967,2019-04-24,Exceso de velocidad,404
NDU-0539,2021-05-15,No usar cinturón de seguridad,217
NDU-0539,2017-06-23,No portar licencia,791
NDU-0539,2022-04-18,Exceso de velocidad,475
BZT-6712,2015-11-28,Falta de seguro obligatorio,110
BZT-6712,2024-08-01,No respetar semáforo,446
BZT-6712,2020-09-16,Circular con luces apagadas,386
BZT-6712,2020-10-18,Estacionamiento indebido,635
BZT-6712,2018-12-19,Falta de seguro obligatorio,847
SOB-5182,2022-05-19,No usar cinturón de seguridad,247
SOB-5182,2021-04-05,Estacionamiento indebido,439
SOB-5182,2023-03-24,No portar licencia,469
SOB-5182,2019-02-14,Exceso de velocidad,177
KIM-4704,2024-05-26,Circular con luces apagadas,427
KIM-4704,2020-07-03,Falta de seguro obligatorio,819
KIM-4704,2015-12-14,No portar licencia,861
SUU-0891,2021-09-05,Circular con luces apagadas,298
SUU-0891,2022-11-29,Falta de seguro obligatorio,878
SUU-0891,2023-08-20,No portar licencia,101
SUU-0891,2015-05-05,Falta de seguro obligatorio,870
OEM-8513,2015-02-18,Circular con luces apagadas,442
OEM-8513,2024-07-10,Exceso de velocidad,258
OEM-8513,2020-04-19,Revisión técnica vencida,311
PVM-9515,2022-08-09,Circular con luces apagadas,455
PVM-9515,2024-02-27,No usar cinturón de seguridad,161
