Placa,Fecha,Descripcion,Monto
HBU-4211,2018-09-23,No portar licencia,729
HBU-4211,2017-08-24,Revisión técnica vencida,166
HBU-4211,2022-10-05,No usar cinturón de seguridad,764
XEL-3068,2022-10-27,Estacionamiento indebido,462
XEL-3068,2024-02-19,Uso de celular al conducir,398
XEL-3068,2021-07-01,Uso de celular al conducir,602
XZT-6371,2022-06-24,No usar cinturón de seguridad,237
XZT-6371,2021-07-03,No usar cinturón de seguridad,843
XZT-6371,2022-10-06,Circular con luces apagadas,691
GQF-2256,2021-08-21,Exceso de velocidad,226
GQF-2256,2024-05-01,Falta de seguro obligatorio,217
GQF-2256,2018-12-23,Falta de seguro obligatorio,287
ADJ-7314,2024-04-20,Vehículo sin placas visibles,247
ADJ-7314,2016-09-18,Uso de celular al conducir,142
ADJ-7314,2017-07-10,Exceso de velocidad,632
ADJ-7314,2017-12-20,Vehículo sin placas visibles,217
ADJ-7314,2016-11-10,Falta de seguro obligatorio,202
QCP-2667,2017-03-06,Exceso de velocidad,355
QCP-2667,2021-07-08,Falta de seguro obligatorio,277
QCP-2667,2021-06-05,Vehículo sin placas visibles,729
EXN-0959,2023-01-16,Falta de seguro obligatorio,717
EXN-0959,2022-12-25,Falta de seguro obligatorio,798
GIO-5265,2021-03-17,Estacionamiento indebido,662
CVB-6316,2023-08-15,Vehículo sin placas visibles,184
CVB-6316,2018-05-18,Revisión técnica vencida,967
EAY-7564,2024-07-13,Uso de celular al conducir,235
RLN-1758,2020-01-20,No respetar semáforo,426
KNW-0832,2024-02-09,Circular con luces apagadas,799
KNW-0832,2018-02-15,Vehículo sin placas visibles,526
KNW-0832,2016-02-17,Exceso de velocidad,359
YWS-4707,2017-10-28,No portar licencia,764
YWS-4707,2019-02-24,Exceso de velocidad,113
JFI-5587,2015-07-26,Exceso de velocidad,903
JFI-5587,2016-08-26,Estacionamiento indebido,694
JFI-5587,2016-07-05,No portar licencia,636
OWQ-8057,2020-01-29,Uso de celular al conducir,193
OWQ-8057,2020-08-06,Estacionamiento indebido,672
OXP-9405,2023-11-10,Falta de seguro obligatorio,581
YBB-9977,2020-02-26,Circular con luces apagadas,793
YBB-9977,2019-06-25,No portar licencia,431
JZY-5385,2024-11-23,Falta de seguro obligatorio,210
JZY-5385,2017-06-04,Circular con luces apagadas,354
JZY-5385,2017-05-19,No respetar semáforo,375
JZY-5385,2022-09-22,Exceso de velocidad,791
JZY-5385,2022-09-20,Circular con luces apagadas,910
CMQ-5658,2023-07-23,Falta de seguro obligatorio,249
CMQ-5658,2020-06-22,Uso de celular al conducir,574
CMQ-5658,2017-06-25,Circular con luces apagadas,582
CMQ-5658,2019-04-13,Vehículo sin placas visibles,221
CMQ-5658,2018-08-30,Falta de seguro obligatorio,837
KGV-2029,2021-01-30,Revisión técnica vencida,392
KGV-2029,2019-05-03,No usar cinturón de seguridad,848
KGV-2029,2023-12-27,Vehículo sin placas visibles,505
THC-4567,2020-11-15,No usar cinturón de seguridad,770
THC-4567,2023-06-10,Circular con luces apagadas,428
THC-4567,2021-12-14,Revisión técnica vencida,797
THC-4567,2016-04-21,Estacionamiento indebido,233
THC-4567,2018-02-10,No usar cinturón de seguridad,553
BNB-7881,2016-01-24,Exceso de velocidad,533
BNB-7881,2017-10-14,No usar cinturón de seguridad,535
BNB-7881,2020-05-12,Revisión técnica vencida,695
BNB-7881,2022-12-10,Revisión técnica vencida,193
ZTI-1166,2015-01-12,Uso de celular al conducir,104
ZTI-1166,2024-04-20,Vehículo sin placas visibles,147
MCZ-4425,2018-06-02,No portar licencia,637
MCZ-4425,2015-02-19,Exceso de velocidad,394
HDQ-9313,2024-03-01,No portar licencia,771
HDQ-9313,2017-06-09,No usar cinturón de seguridad,402
HDQ-9313,2021-06-15,Exceso de velocidad,744
HDQ-9313,2018-06-16,No usar cinturón de seguridad,261
DIE-3272,2020-11-09,No respetar semáforo,969
DIE-3272,2021-05-14,Exceso de velocidad,574
PXK-5514,2023-01-24,Exceso de velocidad,825
PXK-5514,2016-06-30,No usar cinturón de seguridad,174
PXK-5514,2016-04-27,Estacionamiento indebido,399
XNV-2273,2015-06-07,Uso de celular al conducir,124
XNV-2273,2021-11-12,Uso de celular al conducir,604
XNV-2273,2016-06-28,No portar licencia,697
XNV-2273,2019-02-11,Revisión técnica vencida,985
XNV-2273,2018-06-19,Revisión técnica vencida,733
HRH-2894,2019-12-27,Falta de seguro obligatorio,994
HRH-2894,2016-07-05,Estacionamiento indebido,218
HRH-2894,2023-01-03,Exceso de velocidad,139
QLR-6277,2021-04-18,Falta de seguro obligatorio,536
QLR-6277,2024-10-01,Revisión técnica vencida,890
QLR-6277,2015-02-05,Falta de seguro obligatorio,479
QLR-6277,2024-02-12,Circular con luces apagadas,438
QLR-6277,2021-02-06,Estacionamiento indebido,361
PSM-8569,2019-01-26,No portar licencia,630
CCY-3840,2018-10-23,Revisión técnica vencida,116
CCY-3840,2016-10-08,Estacionamiento indebido,963
CCY-3840,2022-05-13,Uso de celular al conducir,246
CCY-3840,2017-08-25,Revisión técnica vencida,189
HYV-6661,2020-06-21,No portar licencia,277
HYV-6661,2022-09-26,Uso de celular al conducir,767
HYV-6661,2019-09-27,Uso de celular al conducir,170
HYV-6661,2020-07-21,No usar cinturón de seguridad,454
JEZ-3283,2021-08-04,No portar licencia,721
JEZ-3283,2015-08-15,Estacionamiento indebido,863
MZM-9763,2020-05-13,Revisión técnica vencida,198
