Placa,Fecha,Descripcion,Monto
BSG-4943,2015-01-23,No usar cinturón de seguridad,813
BSG-4943,2021-04-26,No usar cinturón de seguridad,554
BSG-4943,2020-08-20,No usar cinturón de seguridad,805
IVA-6071,2016-06-01,Exceso de velocidad,589
IVA-6071,2021-09-01,Exceso de velocidad,276
IVA-6071,2017-09-21,No usar cinturón de seguridad,791
IVA-6071,2023-09-15,Circular con luces apagadas,769
EWC-6400,2015-02-25,Exceso de velocidad,513
EWC-6400,2017-06-24,Revisión técnica vencida,593
EWC-6400,2024-01-18,Exceso de velocidad,816
ITE-0097,2021-06-15,Vehículo sin placas visibles,726
IKH-0948,2021-04-18,Vehículo sin placas visibles,959
IKH-0948,2023-08-15,Vehículo sin placas visibles,538
IKH-0948,2024-09-21,No portar licencia,870
OID-0290,2022-03-28,Uso de celular al conducir,756
OID-0290,2016-02-24,Vehículo sin placas visibles,629
OID-0290,2016-06-02,Estacionamiento indebido,885
JMK-4045,2016-09-01,Exceso de velocidad,247
JMK-4045,2019-04-03,Circular con luces apagadas,410
JMK-4045,2020-01-21,No portar licencia,880
ADC-8351,2017-11-03,Revisión técnica vencida,178
ADC-8351,2020-11-20,No respetar semáforo,591
VUY-2195,2016-11-15,Revisión técnica vencida,736
VUY-2195,2016-06-01,No respetar semáforo,415
VUY-2195,2018-12-17,Revisión técnica vencida,282
QZZ-4613,2021-09-02,No portar licencia,335
QZZ-4613,2024-03-28,Vehículo sin placas visibles,654
HBE-9401,2018-04-17,No usar cinturón de seguridad,387
HBE-9401,2016-08-02,Estacionamiento indebido,625
XZQ-3233,2018-07-21,No usar cinturón de seguridad,204
RRA-0120,2019-01-28,No usar cinturón de seguridad,973
RRA-0120,2015-03-28,No respetar semáforo,446
RRA-0120,2015-05-14,No respetar semáforo,165
BYV-5199,2015-05-18,Falta de seguro obligatorio,892
ZWM-1385,2022-09-24,No portar licencia,389
VUI-7181,2020-02-29,No portar licencia,648
VUI-7181,2020-11-22,No respetar semáforo,857
VUI-7181,2019-03-19,Estacionamiento indebido,739
ZAX-4074,2023-10-17,Estacionamiento indebido,600
ZAX-4074,2016-11-11,Exceso de velocidad,607
ZAX-4074,2021-11-02,No portar licencia,405
XFV-0500,2023-02-22,Falta de seguro obligatorio,660
XFV-0500,2023-11-07,Exceso de velocidad,494
XFV-0500,2019-02-06,No portar licencia,361
RRZ-4467,2017-06-23,Circular con luces apagadas,661
RRZ-4467,2020-12-05,No portar licencia,651
RRZ-4467,2015-07-03,Uso de celular al conducir,117
RRZ-4467,2016-05-09,Vehículo sin placas visibles,479
QRP-8655,2019-04-26,Revisión técnica vencida,697
QRP-8655,2023-09-16,Exceso de velocidad,337
QRP-8655,2023-10-27,Exceso de velocidad,929
QRP-8655,2018-08-15,Falta de seguro obligatorio,926
QRP-8655,2023-12-04,Circular con luces apagadas,392
APE-0674,2022-01-14,No usar cinturón de seguridad,781
APE-0674,2019-11-10,Revisión técnica vencida,923
APE-0674,2018-03-07,Revisión técnica vencida,836
YZY-4950,2024-06-03,Uso de celular al conducir,315
YZY-4950,2023-12-09,Revisión técnica vencida,318
YZY-4950,2016-12-04,Vehículo sin placas visibles,296
KJN-7585,2021-05-21,No portar licencia,248
KJN-7585,2021-07-11,Uso de celular al conducir,251
QRB-1313,2019-12-15,No portar licencia,350
MOL-3583,2019-09-27,No respetar semáforo,122
MOL-3583,2015-10-22,Vehículo sin placas visibles,358
MOL-3583,2022-01-08,No respetar semáforo,333
NDU-5054,2021-12-29,Exceso de velocidad,152
EFE-8324,2024-05-02,No respetar semáforo,138
EFE-8324,2015-11-24,Vehículo sin placas visibles,925
EFE-8324,2020-05-02,Vehículo sin placas visibles,617
EFE-8324,2023-08-26,Circular con luces apagadas,697
WGJ-8494,2021-11-23,No respetar semáforo,899
LZI-7143,2023-01-21,Vehículo sin placas visibles,948
IXX-7434,2021-05-19,Revisión técnica vencida,825
DNR-6730,2017-01-18,No respetar semáforo,236
DNR-6730,2023-02-20,Falta de seguro obligatorio,698
PXS-8109,2022-08-31,No usar cinturón de seguridad,204
DVR-4636,2015-04-06,Vehículo sin placas visibles,311
DVR-4636,2016-03-25,Revisión técnica vencida,660
DVR-4636,2022-08-11,Revisión técnica vencida,306
DVR-4636,2022-09-06,Falta de seguro obligatorio,903
RCX-3018,2024-05-29,Falta de seguro obligatorio,289
RCX-3018,2021-08-23,Exceso de velocidad,712
AOP-9965,2017-04-23,No portar licencia,567
AOP-9965,2022-12-07,Revisión técnica vencida,727
MCR-8564,2019-07-21,No usar cinturón de seguridad,532
MCR-8564,2015-04-17,No respetar semáforo,660
MAD-0420,2024-05-17,No respetar semáforo,196
MAD-0420,2024-08-15,No portar licencia,409
MAD-0420,2015-12-28,Falta de seguro obligatorio,127
MAD-0420,2024-06-14,Circular con luces apagadas,358
MAD-0420,2017-09-21,Exceso de velocidad,164
PLS-8055,2018-06-14,Falta de seguro obligatorio,115
PLS-8055,2017-07-22,Vehículo sin placas visibles,354
PLS-8055,2019-12-01,No portar licencia,992
IFH-0638,2023-09-11,Falta de seguro obligatorio,967
IFH-0638,2024-01-11,Circular con luces apagadas,167
IFH-0638,2020-12-17,Uso de celular al conducir,664
IFH-0638,2019-04-16,No portar licencia,130
NVA-1570,2017-11-14,Estacionamiento indebido,516
NVA-1570,2022-10-21,Vehículo sin placas visibles,868
NVA-1570,2019-08-16,No usar cinturón de seguridad,442
NVA-1570,2024-05-06,No usar cinturón de seguridad,627
ZOX-6079,2016-08-18,Falta de seguro obligatorio,433
SMV-2306,2016-11-19,Falta de seguro obligatorio,851
SMV-2306,2023-09-30,Exceso de velocidad,497
SMV-2306,2020-04-25,Revisión técnica vencida,388
SMV-2306,2016-12-18,Revisión técnica vencida,120
JEE-0354,2024-05-21,No usar cinturón de seguridad,909
JEE-0354,2017-07-20,Falta de seguro obligatorio,546
JEE-0354,2023-10-01,Exceso de velocidad,590
QTC-3294,2018-12-14,Exceso de velocidad,878
NYC-8750,2021-09-22,Estacionamiento indebido,862
NYC-8750,2015-02-01,Circular con luces apagadas,612
NYC-8750,2021-07-05,No portar licencia,453
IUT-1577,2018-10-04,Estacionamiento indebido,679
RIH-5226,2024-11-24,Exceso de velocidad,730
RIH-5226,2016-08-13,No respetar semáforo,896
RIH-5226,2016-02-01,No usar cinturón de seguridad,320
MCO-7990,2023-03-10,Uso de celular al conducir,309
MCO-7990,2017-06-02,Exceso de velocidad,569
KJD-1148,2017-02-15,No portar licencia,102
TLL-4812,2015-02-01,Circular con luces apagadas,489
TLL-4812,2021-03-18,Uso de celular al conducir,439
TLL-4812,2023-11-03,No portar licencia,644
TLL-4812,2024-11-18,Estacionamiento indebido,170
DKU-0826,2018-08-27,Revisión técnica vencida,811
LBD-5534,2016-06-12,Revisión técnica vencida,925
LBD-5534,2021-10-18,No respetar semáforo,583
LBD-5534,2022-03-11,Circular con luces apagadas,508
XWM-0426,2018-05-06,Uso de celular al conducir,667
XWM-0426,2020-03-12,Exceso de velocidad,718
RVJ-5436,2016-03-21,Revisión técnica vencida,115
RVJ-5436,2020-07-17,Uso de celular al conducir,642
JQR-4250,2023-05-31,Revisión técnica vencida,642
JQR-4250,2016-11-02,Estacionamiento indebido,224
JQR-4250,2016-03-28,No respetar semáforo,257
JQR-4250,2015-01-11,Uso de celular al conducir,909
QBH-0603,2017-02-14,Exceso de velocidad,637
GSA-3044,2023-02-09,Circular con luces apagadas,871
GSA-3044,2015-05-01,Circular con luces apagadas,261
GOK-0516,2019-10-02,Falta de seguro obligatorio,765
GOK-0516,2021-09-05,Circular con luces apagadas,267
RWW-3212,2024-04-20,No usar cinturón de seguridad,675
RWW-3212,2022-11-09,No respetar semáforo,909
RWW-3212,2016-01-15,Vehículo sin placas visibles,290
VAK-0689,2019-07-17,No portar licencia,568
VAK-0689,2016-07-26,Uso de celular al conducir,385
VAK-0689,2016-05-15,Uso de celular al conducir,293
TEP-6290,2022-08-08,No portar licencia,768
TEP-6290,2020-09-03,Estacionamiento indebido,386
TEP-6290,2022-01-19,Uso de celular al conducir,121
YTU-5130,2023-02-11,Uso de celular al conducir,119
YTU-5130,2019-08-18,Falta de seguro obligatorio,930
YTU-5130,2022-08-01,Estacionamiento indebido,780
YTU-5130,2020-04-08,Falta de seguro obligatorio,495
YTU-5130,2019-10-15,Vehículo sin placas visibles,177
XNU-7743,2020-09-08,Revisión técnica vencida,592
XNU-7743,2022-02-05,Falta de seguro obligatorio,359
STG-7879,2022-05-03,Vehículo sin placas visibles,950
GBT-2955,2017-10-04,No portar licencia,765
GBT-2955,2022-11-19,No portar licencia,251
GBT-2955,2019-02-22,Revisión técnica vencida,830
GBT-2955,2020-03-18,Vehículo sin placas visibles,885
GBT-2955,2018-10-04,Revisión técnica vencida,435
NLU-4296,2024-08-24,No portar licencia,280
NLU-4296,2020-12-12,Vehículo sin placas visibles,922
NLU-4296,2023-06-13,No portar licencia,316
IXA-9054,2024-03-27,Estacionamiento indebido,677
IXA-9054,2019-10-24,No portar licencia,904
IXA-9054,2024-07-24,Vehículo sin placas visibles,574
YEN-7363,2018-06-12,Estacionamiento indebido,838
YEN-7363,2020-02-21,No respetar semáforo,379
YEN-7363,2017-01-21,Circular con luces apagadas,136
YEN-7363,2023-10-21,No usar cinturón de seguridad,160
DBR-5466,2024-12-18,No usar cinturón de seguridad,239
DBR-5466,2020-12-15,Falta de seguro obligatorio,684
ORJ-5028,2021-01-24,Vehículo sin placas visibles,658
PGO-2846,2022-08-12,Estacionamiento indebido,739
PGO-2846,2020-02-04,Falta de seguro obligatorio,365
PGO-2846,2019-03-06,No portar licencia,416
PGO-2846,2021-10-13,Exceso de velocidad,962
PGO-2846,2020-04-22,Revisión técnica vencida,459
ESJ-5258,2018-07-03,Falta de seguro obligatorio,932
ESJ-5258,2017-10-05,Falta de seguro obligatorio,609
ESJ-5258,2017-04-25,No portar licencia,818
TKD-5319,2017-06-03,Exceso de velocidad,460
YWW-9018,2016-04-22,Estacionamiento indebido,538
YWW-9018,2021-12-04,Revisión técnica vencida,747
YWW-9018,2018-05-10,Falta de seguro obligatorio,408
IAE-6101,2019-10-02,Exceso de velocidad,149
IAE-6101,2021-12-14,Falta de seguro obligatorio,623
IAE-6101,2023-04-18,No respetar semáforo,392
ZWG-8494,2024-07-14,Vehículo sin placas visibles,872
ZWG-8494,2016-01-03,No portar licencia,518
YKZ-0143,2021-11-11,Revisión técnica vencida,712
YKZ-0143,2017-11-18,Estacionamiento indebido,253
YKZ-0143,2024-12-31,No usar cinturón de seguridad,624
YKZ-0143,2015-12-10,No portar licencia,583
YKZ-0143,2024-11-20,Exceso de velocidad,738
VSL-2026,2018-11-23,Revisión técnica vencida,845
YHT-1820,2021-02-04,Exceso de velocidad,688
YHT-1820,2023-10-27,Estacionamiento indebido,876
SWC-1085,2015-08-24,Exceso de velocidad,428
SWC-1085,2019-11-24,No respetar semáforo,885
SWC-1085,2021-03-10,Estacionamiento indebido,535
PYN-2341,2020-09-22,No respetar semáforo,543
PYN-2341,2020-10-07,Estacionamiento indebido,104
PYN-2341,2016-05-23,No respetar semáforo,767
IFK-8604,2018-07-29,Exceso de velocidad,738
IFK-8604,2019-01-13,No respetar semáforo,160
ALB-3040,2019-09-22,No usar cinturón de seguridad,786
ALB-3040,2021-04-22,Vehículo sin placas visibles,312
ALB-3040,2020-12-06,Falta de seguro obligatorio,398
ALB-3040,2018-04-26,Estacionamiento indebido,585
FIC-6611,2022-02-12,No usar cinturón de seguridad,644
FIC-6611,2018-06-12,Vehículo sin placas visibles,581
FIC-6611,2018-07-28,Vehículo sin placas visibles,848
FIC-6611,2023-03-27,Falta de seguro obligatorio,571
FJJ-5980,2019-01-15,Estacionamiento indebido,376
