Placa,Fecha,Descripcion,Monto
ZTE-8313,2019-06-20,Revisión técnica vencida,852
ZTE-8313,2017-10-06,Exceso de velocidad,753
ZTE-8313,2019-01-13,Vehículo sin placas visibles,911
ZTE-8313,2022-05-16,Circular con luces apagadas,480
ZTE-8313,2017-06-23,No usar cinturón de seguridad,706
JBF-1487,2022-06-24,Circular con luces apagadas,287
XUF-1515,2022-08-25,Falta de seguro obligatorio,427
XUF-1515,2018-04-22,Exceso de velocidad,591
XUF-1515,2021-04-19,Falta de seguro obligatorio,551
CTO-9879,2018-10-12,No usar cinturón de seguridad,635
CTO-9879,2016-01-07,Falta de seguro obligatorio,720
CTO-9879,2018-04-05,Vehículo sin placas visibles,914
CTO-9879,2021-12-28,Vehículo sin placas visibles,791
MTD-9565,2020-02-22,No respetar semáforo,868
MTD-9565,2015-08-27,Circular con luces apagadas,601
MTD-9565,2022-11-10,Vehículo sin placas visibles,526
MTD-9565,2022-12-31,Exceso de velocidad,325
MTD-9565,2022-01-01,Uso de celular al conducir,421
KHM-1250,2024-07-14,Uso de celular al conducir,928
DEN-1193,2019-10-10,Vehículo sin placas visibles,141
DEN-1193,2021-11-01,Revisión técnica vencida,975
DEN-1193,2020-03-06,No respetar semáforo,898
DEN-1193,2015-01-08,No portar licencia,977
LEV-4418,2021-11-19,No respetar semáforo,240
CGZ-3217,2022-10-19,Circular con luces apagadas,903
CGZ-3217,2019-11-17,Revisión técnica vencida,542
HWM-0588,2022-11-13,Estacionamiento indebido,619
HWM-0588,2015-06-27,Circular con luces apagadas,924
HWM-0588,2016-12-11,No portar licencia,713
HWM-0588,2024-03-29,Estacionamiento indebido,750
IXK-5097,2016-11-18,Exceso de velocidad,595
IXK-5097,2020-07-24,Estacionamiento indebido,694
DIF-0615,2016-02-26,Falta de seguro obligatorio,651
DIF-0615,2019-04-18,Estacionamiento indebido,106
OOS-1315,2021-07-08,Circular con luces apagadas,108
SQA-7036,2022-02-05,Revisión técnica vencida,197
SQA-7036,2022-07-02,Estacionamiento indebido,273
SQA-7036,2016-09-12,No respetar semáforo,1000
SQA-7036,2022-08-03,Uso de celular al conducir,127
VTM-4730,2020-02-22,No portar licencia,370
VTM-4730,2022-02-20,No usar cinturón de seguridad,534
VTM-4730,2018-05-01,Vehículo sin placas visibles,549
HMZ-8003,2023-02-06,Circular con luces apagadas,220
HMZ-8003,2023-12-29,No portar licencia,330
HMZ-8003,2021-05-18,Revisión técnica vencida,256
HMZ-8003,2021-02-20,Vehículo sin placas visibles,906
LQC-7777,2022-09-26,No portar licencia,687
LQC-7777,2020-03-19,Falta de seguro obligatorio,869
IXX-2479,2022-10-16,Uso de celular al conducir,818
IXX-2479,2024-04-27,Vehículo sin placas visibles,372
IXX-2479,2019-06-25,Falta de seguro obligatorio,312
EVP-0748,2017-10-10,No respetar semáforo,477
EVP-0748,2021-09-11,No portar licencia,148
EVP-0748,2015-06-12,No usar cinturón de seguridad,375
EVP-0748,2016-05-16,Uso de celular al conducir,170
EVP-0748,2023-11-17,Estacionamiento indebido,355
VYA-1765,2022-02-14,Falta de seguro obligatorio,274
VYA-1765,2015-05-16,Estacionamiento indebido,277
VYA-1765,2018-01-30,Falta de seguro obligatorio,260
VYA-1765,2015-09-09,Vehículo sin placas visibles,893
RQA-3301,2015-10-31,No respetar semáforo,915
RQA-3301,2019-04-17,Circular con luces apagadas,322
RQA-3301,2019-11-13,No respetar semáforo,651
RQA-3301,2023-06-10,No respetar semáforo,221
RQA-3301,2020-06-01,Uso de celular al conducir,489
YGD-4186,2016-02-05,Vehículo sin placas visibles,286
PYX-0331,2023-07-20,No usar cinturón de seguridad,892
IXO-0734,2023-09-30,No usar cinturón de seguridad,294
IXO-0734,2018-12-01,Vehículo sin placas visibles,226
IXO-0734,2023-01-16,Falta de seguro obligatorio,960
ISY-9892,2016-05-22,Falta de seguro obligatorio,985
ISY-9892,2023-11-10,Revisión técnica vencida,322
EWA-2781,2015-01-24,Vehículo sin placas visibles,295
