Placa,Fecha,Descripcion,Monto
LEX-9162,2020-08-07,Falta de seguro obligatorio,178
LEX-9162,2019-04-02,Circular con luces apagadas,451
LEX-9162,2020-09-20,Falta de seguro obligatorio,263
LEX-9162,2023-10-06,Circular con luces apagadas,100
LEX-9162,2015-01-12,No respetar semáforo,978
RSL-6380,2019-04-16,Vehículo sin placas visibles,968
RSL-6380,2019-08-05,Uso de celular al conducir,539
RSL-6380,2021-08-13,No portar licencia,764
RSL-6380,2021-05-08,Estacionamiento indebido,823
SRV-7579,2021-06-02,Uso de celular al conducir,380
SRV-7579,2024-08-20,Vehículo sin placas visibles,569
SRV-7579,2021-08-18,No respetar semáforo,276
SRV-7579,2020-09-10,Vehículo sin placas visibles,903
SRV-7579,2024-06-30,Circular con luces apagadas,332
YKB-3709,2015-09-15,Circular con luces apagadas,813
YKB-3709,2024-07-10,No portar licencia,396
YKB-3709,2023-11-29,No usar cinturón de seguridad,194
YKB-3709,2019-12-08,Exceso de velocidad,612
YKB-3709,2024-04-01,No respetar semáforo,601
EIP-4496,2016-09-09,Falta de seguro obligatorio,126
EIP-4496,2016-10-15,Exceso de velocidad,348
EIP-4496,2024-03-02,Revisión técnica vencida,350
EIP-4496,2018-09-29,Vehículo sin placas visibles,663
EIP-4496,2021-05-29,Uso de celular al conducir,932
IDY-5341,2019-01-15,Vehículo sin placas visibles,594
IDY-5341,2019-09-05,Estacionamiento indebido,140
IDY-5341,2016-07-02,Revisión técnica vencida,470
IDY-5341,2022-01-30,Uso de celular al conducir,971
IDY-5341,2022-04-15,Estacionamiento indebido,666
YUU-2131,2015-05-23,Uso de celular al conducir,488
YUU-2131,2024-10-02,No respetar semáforo,398
YUU-2131,2016-12-26,Uso de celular al conducir,394
YUU-2131,2023-09-13,Exceso de velocidad,607
YUU-2131,2016-09-08,Falta de seguro obligatorio,265
VCX-9923,2016-09-26,Vehículo sin placas visibles,296
VCX-9923,2017-05-08,Vehículo sin placas visibles,752
VCX-9923,2022-11-02,Estacionamiento indebido,512
VCX-9923,2021-04-21,No usar cinturón de seguridad,518
ZBD-8619,2021-10-11,Revisión técnica vencida,847
ZBD-8619,2023-01-05,Uso de celular al conducir,299
ZBD-8619,2024-04-10,No usar cinturón de seguridad,404
GUX-8296,2024-08-07,Exceso de velocidad,528
GUX-8296,2021-10-31,Revisión técnica vencida,161
GUX-8296,2023-10-12,Exceso de velocidad,546
GUX-8296,2018-04-04,Revisión técnica vencida,923
GUX-8296,2016-04-23,No portar licencia,661
OIO-7528,2020-09-30,Exceso de velocidad,805
OIO-7528,2022-04-24,Circular con luces apagadas,861
OIO-7528,2020-07-06,Exceso de velocidad,288
OIO-7528,2015-07-30,Circular con luces apagadas,107
OIO-7528,2024-01-20,No respetar semáforo,749
TWD-5988,2020-05-09,No respetar semáforo,106
TWD-5988,2022-04-21,Estacionamiento indebido,601
IWN-4616,2024-02-22,No respetar semáforo,928
IWN-4616,2019-09-30,No portar licencia,721
IWN-4616,2021-06-10,Estacionamiento indebido,417
IWN-4616,2024-04-15,No portar licencia,798
JFU-7914,2015-03-22,Exceso de velocidad,514
JFU-7914,2017-08-26,Exceso de velocidad,967
JFU-7914,2020-08-29,No portar licencia,793
JFU-7914,2017-09-18,Falta de seguro obligatorio,884
JFU-7914,2019-03-02,Exceso de velocidad,600
GON-9054,2024-02-16,No portar licencia,906
GON-9054,2021-11-25,Falta de seguro obligatorio,366
PKH-2114,2022-03-18,No respetar semáforo,233
PKH-2114,2018-08-21,Circular con luces apagadas,429
LKV-8766,2018-09-27,Vehículo sin placas visibles,510
LKV-8766,2024-12-26,Falta de seguro obligatorio,519
LKV-8766,2024-02-06,Revisión técnica vencida,664
BWR-5678,2020-05-13,Falta de seguro obligatorio,575
BWR-5678,2015-12-09,Falta de seguro obligatorio,957
BWR-5678,2017-03-30,Falta de seguro obligatorio,863
SGN-3272,2016-03-15,Circular con luces apagadas,992
NPZ-0666,2023-05-31,Circular con luces apagadas,346
NPZ-0666,2015-12-16,No respetar semáforo,893
TNE-0484,2015-10-22,Uso de celular al conducir,716
TNE-0484,2020-11-22,Uso de celular al conducir,871
APP-0094,2019-07-07,No respetar semáforo,259
FWS-0041,2021-02-12,Uso de celular al conducir,825
NAV-0140,2024-07-08,Revisión técnica vencida,863
NAV-0140,2020-06-14,Falta de seguro obligatorio,696
NAV-0140,2023-08-26,Uso de celular al conducir,460
NAV-0140,2019-05-22,No portar licencia,361
NAV-0140,2023-02-23,No usar cinturón de seguridad,240
DRQ-7410,2017-03-23,No respetar semáforo,708
YRB-3614,2024-05-03,Exceso de velocidad,490
ZEB-3696,2020-01-20,No usar cinturón de seguridad,104
ZEB-3696,2019-04-08,No respetar semáforo,197
ZEB-3696,2024-05-03,Exceso de velocidad,777
ZEB-3696,2018-08-18,Uso de celular al conducir,305
TQY-5795,2024-08-24,No respetar semáforo,801
TQY-5795,2022-07-05,Revisión técnica vencida,640
TQY-5795,2018-05-31,No usar cinturón de seguridad,289
TQY-5795,2016-08-27,No respetar semáforo,285
UUA-1336,2024-04-27,No portar licencia,359
UUA-1336,2019-09-20,Falta de seguro obligatorio,841
UUA-1336,2024-09-29,Uso de celular al conducir,994
JSZ-4571,2018-04-04,No usar cinturón de seguridad,831
JSZ-4571,2018-08-01,No usar cinturón de seguridad,339
JSZ-4571,2024-08-12,Revisión técnica vencida,152
JSZ-4571,2022-09-28,Circular con luces apagadas,883
JTL-9423,2015-07-13,No usar cinturón de seguridad,714
JTL-9423,2024-05-12,Uso de celular al conducir,960
JTL-9423,2020-09-23,Vehículo sin placas visibles,365
JTL-9423,2016-06-03,Exceso de velocidad,332
CYL-3540,2018-03-16,Revisión técnica vencida,680
XHJ-5288,2017-03-03,No usar cinturón de seguridad,213
CAH-7316,2019-06-12,No respetar semáforo,406
EDQ-8364,2020-05-29,Estacionamiento indebido,761
EDQ-8364,2017-08-05,Estacionamiento indebido,707
EDQ-8364,2016-07-17,Estacionamiento indebido,708
EDQ-8364,2016-09-28,Exceso de velocidad,990
EDQ-8364,2021-08-19,Circular con luces apagadas,182
GJM-5219,2021-01-23,Uso de celular al conducir,529
GJM-5219,2021-11-30,Exceso de velocidad,152
LEO-4719,2018-03-01,Uso de celular al conducir,737
LEO-4719,2017-03-29,Estacionamiento indebido,150
LEO-4719,2016-05-11,No respetar semáforo,477
NRW-5631,2017-01-16,Revisión técnica vencida,756
NRW-5631,2016-12-04,No usar cinturón de seguridad,552
MWH-7537,2020-06-21,No respetar semáforo,411
MWH-7537,2015-03-04,No respetar semáforo,218
MWH-7537,2024-12-17,Uso de celular al conducir,162
YWV-3077,2020-05-11,No portar licencia,917
RYK-6704,2022-08-25,Circular con luces apagadas,107
RYK-6704,2023-06-25,Falta de seguro obligatorio,432
RYK-6704,2019-11-24,No respetar semáforo,382
RYK-6704,2021-02-07,No portar licencia,552
RYK-6704,2015-11-19,Falta de seguro obligatorio,966
DRK-5093,2016-12-22,Falta de seguro obligatorio,446
DRK-5093,2017-09-20,Estacionamiento indebido,778
DRK-5093,2024-07-10,Uso de celular al conducir,836
DRK-5093,2021-02-19,Vehículo sin placas visibles,803
SKA-4329,2017-11-05,Uso de celular al conducir,524
WIR-3008,2020-05-02,Uso de celular al conducir,513
WIR-3008,2020-10-24,No portar licencia,994
WIR-3008,2022-04-30,Vehículo sin placas visibles,392
IDC-3578,2023-09-19,No respetar semáforo,173
IDC-3578,2020-01-12,Circular con luces apagadas,815
NHS-8802,2019-03-31,Revisión técnica vencida,607
NHS-8802,2021-09-21,Revisión técnica vencida,179
NHS-8802,2022-09-13,No usar cinturón de seguridad,943
NHS-8802,2023-02-04,No respetar semáforo,573
XPA-8003,2024-07-17,No usar cinturón de seguridad,886
EKM-5032,2019-03-25,Uso de celular al conducir,894
EKM-5032,2024-02-01,No usar cinturón de seguridad,925
EKM-5032,2017-09-23,Estacionamiento indebido,939
EKM-5032,2015-03-13,No usar cinturón de seguridad,298
EKM-5032,2015-02-03,No usar cinturón de seguridad,830
RMW-2250,2022-10-10,Estacionamiento indebido,112
RMW-2250,2016-01-02,Vehículo sin placas visibles,344
RMW-2250,2023-09-17,Revisión técnica vencida,362
FDW-6924,2018-12-12,Vehículo sin placas visibles,905
FDW-6924,2017-07-12,Exceso de velocidad,643
FDW-6924,2021-08-10,Estacionamiento indebido,466
FDW-6924,2017-07-08,Estacionamiento indebido,358
